locus tag	pan locus tag	pan gene symbol
SAOUHSC_00171	SAUPAN001060000	ggt
S55		-
SAOUHSC_00172	SAUPAN001061000	-
SAOUHSC_00173	SAUPAN001062000	azoR
SAOUHSC_00174	SAUPAN001063000	-
SAOUHSC_00175	SAUPAN001064000	malK
SAOUHSC_00176	SAUPAN001065000	malE
SAOUHSC_00177	SAUPAN001066000	malF
SAOUHSC_00178	SAUPAN001067000	-
S56		-
SAOUHSC_00179	SAUPAN001069000	-
SAOUHSC_00180	SAUPAN001070000	-
SAOUHSC_00181	SAUPAN001071000	-
S57		-
SAOUHSC_00182	SAUPAN001073000	-
SAOUHSC_00183	SAUPAN001074000	uhpT
S58		-
SAOUHSC_00184	SAUPAN001076000	hptR
SAOUHSC_00185	SAUPAN001077000	hptS
SAOUHSC_00186	SAUPAN001079000	hptA
S59		-
SAOUHSC_00187	SAUPAN001082000	pflB
SAOUHSC_00188	SAUPAN001083000	pflA
SAOUHSC_00189	SAUPAN001084000	-
SAOUHSC_00190	SAUPAN001086000	-
S60		-
SAOUHSC_00191	SAUPAN001087000	-
SAOUHSC_00192	SAUPAN001088000	coa
S61		-
S62		-
SAOUHSC_00193	SAUPAN001089000	-
SAOUHSC_00194	SAUPAN001090000	-
S63		-
SAOUHSC_00195	SAUPAN001092000	fadA
SAOUHSC_00196	SAUPAN001093000	fadB
S64		-
SAOUHSC_00197	SAUPAN001094000	fadD
S65		-
SAOUHSC_00198	SAUPAN001095000	fadE
SAOUHSC_00199	SAUPAN001096000	fadX
S66		-
SAOUHSC_00200	SAUPAN001098000	prsS
SAOUHSC_00201	SAUPAN001102000	opp-5A
S67		-
SAOUHSC_00202	SAUPAN001103000	-
S68		-
SAOUHSC_00203	SAUPAN001104000	-
SAOUHSC_00204	SAUPAN001105000	hmp
SAOUHSC_00205	SAUPAN001106000	-
S69		-
SAOUHSC_00206	SAUPAN001107000	ldh1
S70		-
SAOUHSC_00208	SAUPAN001109000	-
SAOUHSC_00209	SAUPAN001110000	glcC
S71		-
S72		-
SAOUHSC_00211	SAUPAN001111000	-
SAOUHSC_00212	SAUPAN001113000	-
SAOUHSC_00213	SAUPAN001114000	-
SAOUHSC_00214	SAUPAN001116000	-
SAOUHSC_00215	SAUPAN001117000	-
SAOUHSC_00216	SAUPAN001119000	-
SAOUHSC_00217	SAUPAN001120000	-
SAOUHSC_00218	SAUPAN001121000	-
SAOUHSC_00219	SAUPAN001122000	-
S73		-
SAOUHSC_00220	SAUPAN001123000	tarI'
SAOUHSC_00221	SAUPAN001124000	tarJ'
SAOUHSC_A00219	SAUPAN001125000	-
S74		-
SAOUHSC_00222	SAUPAN001126000	tarL'
S75		-
S76		-
SAOUHSC_00223	SAUPAN001132000	tarF
S77		-
S78		-
SAOUHSC_00225	SAUPAN001133000	tarI
SAOUHSC_00226	SAUPAN001134000	tarJ
SAOUHSC_00227	SAUPAN001135000	tarL
SAOUHSC_00228	SAUPAN001136000	tarS
SAOUHSC_00229	SAUPAN001138000	scdA
SAOUHSC_00230	SAUPAN001139000	lytS
SAOUHSC_00231	SAUPAN001140000	lytR
SAOUHSC_00232	SAUPAN001141000	lrgA
SAOUHSC_00233	SAUPAN001142000	lrgB
SAOUHSC_00234	SAUPAN001143000	bglR
SAOUHSC_00235	SAUPAN001145000	-
SAOUHSC_00236	SAUPAN001146000	bglA
S79		-
SAOUHSC_00237	SAUPAN001152000	-
SAOUHSC_00238	SAUPAN001153000	-
SAOUHSC_00239	SAUPAN001154000	rbsK
SAOUHSC_00240	SAUPAN001155000	rbsD
SAOUHSC_00241	SAUPAN001156000	rbsU
SAOUHSC_00242	SAUPAN001157000	rbsR
SAOUHSC_00243	SAUPAN001158000	-
SAOUHSC_00244	SAUPAN001159000	-
SAOUHSC_00245	SAUPAN001160000	-
S80		-
SAOUHSC_00246	SAUPAN001161000	-
S81		-
S82		-
SAOUHSC_00247	SAUPAN001162000	-
S83		-
SAOUHSC_00248	SAUPAN001163000	lytM
SAOUHSC_00249	SAUPAN001164000	-
SAOUHSC_00250	SAUPAN001165000	-
SAOUHSC_00251	SAUPAN001166000	-
SAOUHSC_00253	SAUPAN001168000	-
SAOUHSC_00254	SAUPAN001171000	-
SAOUHSC_00255	SAUPAN001173000	-
SAOUHSC_00256	SAUPAN001174000	-
S84		-
SAOUHSC_00257	SAUPAN001175000	esxA
SAOUHSC_00258	SAUPAN001176000	esaA
SAOUHSC_00259	SAUPAN001177000	essA
SAOUHSC_00260	SAUPAN001178000	esaB
SAOUHSC_00261	SAUPAN001179000	essB
SAOUHSC_00262	SAUPAN001181000	essC
SAOUHSC_00264	SAUPAN001185000	esxC
SAOUHSC_00265	SAUPAN001186000	esxB
SAOUHSC_00266	SAUPAN001187000	esaE
SAOUHSC_00267	SAUPAN001188000	esxD
SAOUHSC_00268	SAUPAN001190000	esaD
SAOUHSC_00269	SAUPAN001199000	esaG
SAOUHSC_00270	SAUPAN001210000	-
SAOUHSC_00271	SAUPAN001211000	-
S85		-
SAOUHSC_00272	SAUPAN001197000	-
SAOUHSC_00274	SAUPAN001202000	-
SAOUHSC_00275		-
SAOUHSC_00276		-
SAOUHSC_00277	SAUPAN000541000	-
SAOUHSC_00278	SAUPAN001201000	-
S86		-
SAOUHSC_00279	SAUPAN001221000	-
S87		-
SAOUHSC_00280	SAUPAN001222000	-
S88		-
SAOUHSC_00281	SAUPAN001223000	-
SAOUHSC_00282	SAUPAN001224000	brnQ2
S89		-
SAOUHSC_00284	SAUPAN001228000	-
SAOUHSC_A00283	SAUPAN001229000	-
S90		-
SAOUHSC_00285	SAUPAN001230000	-
SAOUHSC_00287	SAUPAN001231000	-
S91		-
SAOUHSC_00289	SAUPAN001232000	-
SAOUHSC_00290	SAUPAN001233000	-
SAOUHSC_00291	SAUPAN001234000	-
SAOUHSC_00292	SAUPAN001236000	psuG
SAOUHSC_00293	SAUPAN001237000	-
SAOUHSC_00294	SAUPAN001238000	nanT
SAOUHSC_00295	SAUPAN001239000	nanA
SAOUHSC_00296	SAUPAN001240000	nanK
SAOUHSC_00297	SAUPAN001241000	nanR
SAOUHSC_00298	SAUPAN001242000	nanE
SAOUHSC_00299	SAUPAN001243000	-
S92		-
SAOUHSC_00300	SAUPAN001245000	gehB
S93		-
S94		-
SAOUHSC_00301	SAUPAN001851000	-
SAOUHSC_00302	SAUPAN001852000	-
SAOUHSC_00303	SAUPAN001854000	-
S95		-
SAOUHSC_00304	SAUPAN001855000	-
SAOUHSC_00305	SAUPAN001856000	gcvH-L
SAOUHSC_00306	SAUPAN001857000	-
SAOUHSC_00307	SAUPAN001858000	sirTM
SAOUHSC_00308	SAUPAN001861000	lplA2
S97		-
S98		-
SAOUHSC_00309	SAUPAN001862000	-
SAOUHSC_00310	SAUPAN001863000	ulaA
SAOUHSC_00311	SAUPAN001864000	-
SAOUHSC_00312	SAUPAN001865000	-
SAOUHSC_00313	SAUPAN001866000	-
SAOUHSC_00314	SAUPAN001868000	mepR
S99		-
SAOUHSC_00315	SAUPAN001869000	mepA
SAOUHSC_00316	SAUPAN001870000	mepB
SAOUHSC_00317	SAUPAN001872000	glpT
SAOUHSC_00318	SAUPAN001874000	-
SAOUHSC_00319	SAUPAN001875000	-
SAOUHSC_00320	SAUPAN001876000	-
SAOUHSC_00322	SAUPAN001878000	-
SAOUHSC_00323	SAUPAN001880000	-
SAOUHSC_00324	SAUPAN001881000	-
SAOUHSC_00325	SAUPAN001882000	fepA
SAOUHSC_00326	SAUPAN001883000	fepB
SAOUHSC_00327	SAUPAN001884000	fepC
S100		-
SAOUHSC_00328	SAUPAN001888000	tatC
S101		-
SAOUHSC_00329	SAUPAN001890000	tatA
S102		-
SAOUHSC_00330	SAUPAN001891000	-
S103		-
SAOUHSC_00331	SAUPAN001892000	-
SAOUHSC_00332	SAUPAN001893000	-
SAOUHSC_00333	SAUPAN001894000	-
SAOUHSC_00334	SAUPAN001895000	-
SAOUHSC_00335	SAUPAN001896000	-
S104		-
SAOUHSC_A00332	SAUPAN001897000	-
SAOUHSC_00336	SAUPAN001898000	-
S105		-
SAOUHSC_00337	SAUPAN001899000	mdh
SAOUHSC_00338	SAUPAN001900000	metE
SAOUHSC_00339	SAUPAN001901000	metF
SAOUHSC_00340	SAUPAN001902000	metC
SAOUHSC_00341	SAUPAN001903000	metI
S106		-
SAOUHSC_00342	SAUPAN001906000	parB
S107		-
SAOUHSC_00344	SAUPAN001907000	-
SAOUHSC_00345	SAUPAN001908000	-
SAOUHSC_00346	SAUPAN001909000	ychF
SAOUHSC_00347	SAUPAN001910000	-
S108		-
SAOUHSC_00348	SAUPAN001914000	rpsF
SAOUHSC_00349	SAUPAN001915000	ssb
SAOUHSC_00350	SAUPAN001916000	rpsR
S109		-
SAOUHSC_00351	SAUPAN001957000	-
SAOUHSC_00352	SAUPAN001960000	-
SAOUHSC_00353	SAUPAN001965000	-
SAOUHSC_00354	SAUPAN001967000	selX
SAOUHSC_00355	SAUPAN001970000	-
S110		-
SAOUHSC_00356	SAUPAN001971000	-
S111		-
S112		-
SAOUHSC_00357	SAUPAN001972000	-
S113		-
SAOUHSC_00358	SAUPAN001973000	-
SAOUHSC_A00354	SAUPAN001974000	-
SAOUHSC_00359	SAUPAN001975000	-
SAOUHSC_00360	SAUPAN001976000	-
SAOUHSC_00362	SAUPAN001978000	-
S114		-
SAOUHSC_00363	SAUPAN001979000	-
SAOUHSC_00364	SAUPAN001981000	ahpF
SAOUHSC_00365	SAUPAN001982000	ahpC
S115		-
SAOUHSC_00366	SAUPAN001984000	nfrA
SAOUHSC_00367	SAUPAN001985000	tcyP
S116		-
SAOUHSC_00368	SAUPAN001986000	-
S117		-
SAOUHSC_00369	SAUPAN001990000	-
S118		-
SAOUHSC_00370	SAUPAN001991000	-
S119		-
SAOUHSC_00371	SAUPAN001992000	-
S120		-
SAOUHSC_00372	SAUPAN001994000	xpt
SAOUHSC_00373	SAUPAN001995000	pbuX
SAOUHSC_00374	SAUPAN001996000	guaB
SAOUHSC_00375	SAUPAN001997000	guaA
S121		-
SAOUHSC_00376	SAUPAN002055000	-
S122		-
SAOUHSC_00377	SAUPAN002056000	-
SAOUHSC_00378	SAUPAN002057000	-
SAOUHSC_00381a		-
SAOUHSC_00381	SAUPAN002101000	-
SAOUHSC_00382	SAUPAN002102000	-
SAOUHSC_00383	SAUPAN002104000	ssl1
SAOUHSC_00384	SAUPAN002106000	ssl2
SAOUHSC_00386	SAUPAN002108000	ssl3
SAOUHSC_00387	SAUPAN002109000	-
SAOUHSC_00389	SAUPAN002107000	ssl4
SAOUHSC_00390	SAUPAN002110000	ssl5
SAOUHSC_A00379	SAUPAN002111000	-
SAOUHSC_00391	SAUPAN002112000	ssl6
SAOUHSC_00392	SAUPAN002113000	ssl7
SAOUHSC_00393	SAUPAN002114000	ssl8
SAOUHSC_00394	SAUPAN002118000	ssl9
SAOUHSC_00395	SAUPAN002119000	ssl10
SAOUHSC_00396	SAUPAN002125000	-
SAOUHSC_00397	SAUPAN002121000	hsdM1
SAOUHSC_00398	SAUPAN002122000	hsdS1
S123		-
S124		-
SAOUHSC_00399	SAUPAN002129000	ssl11
SAOUHSC_00400	SAUPAN002130000	-
SAOUHSC_00401	SAUPAN002132000	-
SAOUHSC_00402	SAUPAN002142000	lpl3
SAOUHSC_00404	SAUPAN002145000	lpl8
S125		-
SAOUHSC_00405	SAUPAN002135000	lpl9
SAOUHSC_00406	SAUPAN002146000	-
SAOUHSC_00407	SAUPAN002149000	-
SAOUHSC_00408	SAUPAN002150000	-
S126		-
SAOUHSC_00409	SAUPAN002154000	-
SAOUHSC_00410	SAUPAN002155000	zagA
S127		-
S128		-
SAOUHSC_00411	SAUPAN002157000	-
S129		-
SAOUHSC_00411.1	SAUPAN002159000	psmα4
SAOUHSC_00411.2	SAUPAN002160000	psmα3
SAOUHSC_00411.3	SAUPAN002161000	psmα2
SAOUHSC_00411.4	SAUPAN002162000	psmα1
S131		-
SAOUHSC_00412	SAUPAN002163000	mpsA
SAOUHSC_00413	SAUPAN002164000	mpsB
S132		-
SAOUHSC_00414	SAUPAN002166000	mpsC
S133		-
S134		-
SAOUHSC_00415	SAUPAN002167000	-
SAOUHSC_00416	SAUPAN002168000	-
SAOUHSC_00417	SAUPAN002170000	-
SAOUHSC_00418	SAUPAN002172000	-
SAOUHSC_00420	SAUPAN002173000	-
S135		-
SAOUHSC_00421	SAUPAN002174000	mccA
SAOUHSC_00422	SAUPAN002175000	mccB
SAOUHSC_00423	SAUPAN002176000	gmpA
SAOUHSC_00424	SAUPAN002177000	gmpB
SAOUHSC_00426	SAUPAN002178000	gmpC
S136		-
S137		-
S138		-
SAOUHSC_00427	SAUPAN002179000	sle1
S139		-
SAOUHSC_00428	SAUPAN002180000	-
S140		-
SAOUHSC_00429	SAUPAN002181000	-
SAOUHSC_00430	SAUPAN002182000	-
SAOUHSC_00431	SAUPAN002183000	-
SAOUHSC_00433	SAUPAN002184000	-
SAOUHSC_00434	SAUPAN002185000	gltC
SAOUHSC_00435	SAUPAN002186000	gltB
SAOUHSC_00436	SAUPAN002187000	gltD
S141		-
SAOUHSC_T00048	SAUPAN002188000	-
SAOUHSC_00437	SAUPAN002190000	treP
SAOUHSC_00438	SAUPAN002191000	treC
SAOUHSC_00439	SAUPAN002192000	treR
S142		-
SAOUHSC_00440	SAUPAN002195000	-
S143		-
SAOUHSC_00441	SAUPAN002197000	-
S144		-
SAOUHSC_00442	SAUPAN002198000	dnaX
SAOUHSC_00444	SAUPAN002199000	-
SAOUHSC_00445	SAUPAN002200000	recR
S145		-
SAOUHSC_00446	SAUPAN002201000	-
S146		-
S147		-
SAOUHSC_R0001	SAUPAN002203000	rrsA
SAOUHSC_R0006	SAUPAN002205000	rrl1
SAOUHSC_R00011	SAUPAN002206000	rrfA
SAOUHSC_00450	SAUPAN002215000	-
SAOUHSC_00451	SAUPAN002216000	tmk
SAOUHSC_00452	SAUPAN002217000	darA
S148		-
SAOUHSC_00453	SAUPAN002218000	-
SAOUHSC_00454	SAUPAN002219000	holB
SAOUHSC_00455	SAUPAN002220000	-
SAOUHSC_00456	SAUPAN002221000	-
S149		-
SAOUHSC_00457	SAUPAN002223000	-
SAOUHSC_00458	SAUPAN002224000	-
SAOUHSC_00459	SAUPAN002225000	rsmI
S150		-
SAOUHSC_00460	SAUPAN002226000	-
SAOUHSC_00461	SAUPAN002227000	metS
SAOUHSC_00462	SAUPAN002228000	-
S151		-
SAOUHSC_00463	SAUPAN002229000	rnmV
SAOUHSC_00464	SAUPAN002231000	ksgA
S152		-
SAOUHSC_00465	SAUPAN002232000	veg
S153		-
SAOUHSC_00466	SAUPAN002233000	ipk
SAOUHSC_00467	SAUPAN002234000	purR
SAOUHSC_00468	SAUPAN002235000	yabJ
S154		-
SAOUHSC_00469	SAUPAN002236000	spoVG
S155		-
SAOUHSC_00470	SAUPAN002238000	-
SAOUHSC_00471	SAUPAN002239000	glmU
S156		-
SAOUHSC_00472	SAUPAN002240000	prs
S157		-
SAOUHSC_00473	SAUPAN002241000	-
SAOUHSC_00474	SAUPAN002242000	rplY
S158		-
SAOUHSC_00475	SAUPAN002243000	pth
SAOUHSC_00477	SAUPAN002244000	mfd
SAOUHSC_00479	SAUPAN002245000	-
SAOUHSC_00480	SAUPAN002246000	-
SAOUHSC_00481	SAUPAN002247000	-
SAOUHSC_00482	SAUPAN002248000	divIC
SAOUHSC_00483	SAUPAN002249000	-
S159		-
SAOUHSC_00484	SAUPAN002250000	tilS
SAOUHSC_00485	SAUPAN002251000	hprT
S160		-
S161		-
SAOUHSC_00486	SAUPAN002252000	ftsH
S162		-
SAOUHSC_00487	SAUPAN002254000	hslO
S163		-
SAOUHSC_00488	SAUPAN002255000	cysK
SAOUHSC_00489	SAUPAN002256000	folP
SAOUHSC_00490	SAUPAN002257000	folB
SAOUHSC_00491	SAUPAN002258000	folK
S164		-
SAOUHSC_00492	SAUPAN002259000	-
SAOUHSC_00493	SAUPAN002260000	lysS
S165		-
S166		-
S167		-
SAOUHSC_R00016	SAUPAN002264000	rrfC
SAOUHSC_T00059	SAUPAN002265000	trnaV
SAOUHSC_T00053	SAUPAN002267000	trnaT
SAOUHSC_T00035	SAUPAN002268000	trnaK
SAOUHSC_T00021	SAUPAN002269000	trnaG
SAOUHSC_T00030	SAUPAN002270000	trnaL
SAOUHSC_T0004	SAUPAN002271000	trnaR
SAOUHSC_T00044	SAUPAN002272000	trnaP
SAOUHSC_T0001	SAUPAN002266000	trnaA
SAOUHSC_R0002	SAUPAN002273000	rrsB
SAOUHSC_R0007	SAUPAN002278000	rrlC
SAOUHSC_R00012	SAUPAN002262000	rrfB
SAOUHSC_00497	SAUPAN002282000	pdxR
SAOUHSC_00499	SAUPAN002283000	pdxS
SAOUHSC_00500	SAUPAN002284000	pdxT
SAOUHSC_00501	SAUPAN002286000	nupC
S168		-
SAOUHSC_00502	SAUPAN002287000	ctsR
S169		-
SAOUHSC_00503	SAUPAN002288000	mcsA
SAOUHSC_00504	SAUPAN002289000	mcsB
SAOUHSC_00505	SAUPAN002290000	clpC
SAOUHSC_00506	SAUPAN002291000	-
S170		-
S171		-
S172		-
SAOUHSC_00507	SAUPAN002292000	radA
SAOUHSC_00508	SAUPAN002293000	-
S173		-
S174		-
SAOUHSC_00509	SAUPAN002294000	gltX
S175		-
S176		-
SAOUHSC_00510	SAUPAN002297000	cysE
SAOUHSC_00511	SAUPAN002298000	cysS
SAOUHSC_00512	SAUPAN002299000	mrnC
SAOUHSC_00513	SAUPAN002300000	-
SAOUHSC_00514	SAUPAN002301000	-
S177		-
SAOUHSC_00515	SAUPAN002302000	sigH
S178		-
S179		-
SAOUHSC_00516	SAUPAN002304000	secE
SAOUHSC_00517	SAUPAN002305000	nusG
S180		-
SAOUHSC_00518	SAUPAN002307000	rplK
S181		-
SAOUHSC_00519	SAUPAN002308000	rplA
S182		-
S183		-
SAOUHSC_00520	SAUPAN002310000	rplJ
SAOUHSC_00521	SAUPAN002311000	rplL
S184		-
SAOUHSC_00523	SAUPAN002312000	rsmC
S185		-
SAOUHSC_00524	SAUPAN002314000	rpoB
S186		-
SAOUHSC_00525	SAUPAN002315000	rpoC
SAOUHSC_00526	SAUPAN002316000	rplGB
S187		-
SAOUHSC_00527	SAUPAN002317000	rpsL
SAOUHSC_00528	SAUPAN002318000	rpsG
S188		-
SAOUHSC_00529	SAUPAN002319000	fusA
S189		-
SAOUHSC_00530	SAUPAN002320000	tuf
S190		-
SAOUHSC_00531	SAUPAN002321000	-
SAOUHSC_00532	SAUPAN002322000	kbl
SAOUHSC_00533	SAUPAN002323000	hchA
SAOUHSC_00534	SAUPAN002324000	araB
S191		-
SAOUHSC_00535	SAUPAN002325000	-
S192		-
S193		-
SAOUHSC_00536	SAUPAN002326000	ilvE
SAOUHSC_00537	SAUPAN002327000	-
S194		-
SAOUHSC_00538	SAUPAN002328000	-
SAOUHSC_00539	SAUPAN002329000	dck
SAOUHSC_00540	SAUPAN002330000	dgk
S195		-
SAOUHSC_00541	SAUPAN002331000	tadA
S196		-
SAOUHSC_00542	SAUPAN002332000	-
SAOUHSC_00543	SAUPAN002333000	azo1
SAOUHSC_A00526	SAUPAN002334000	-
SAOUHSC_00544	SAUPAN002335000	sdrC
S197		-
SAOUHSC_00545	SAUPAN002336000	sdrD
SAOUHSC_00547	SAUPAN002338000	-
SAOUHSC_00548	SAUPAN002340000	-
