# Program:featureCounts v1.6.3; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "3" "-a" "tmp/reference.gff" "-o" "tmp/counts.txt" "tmp/mapped_reads/SRR10379721_mapped.sam" "tmp/mapped_reads/SRR10379722_mapped.sam" "tmp/mapped_reads/SRR10379723_mapped.sam" "tmp/mapped_reads/SRR10379724_mapped.sam" "tmp/mapped_reads/SRR10379725_mapped.sam" "tmp/mapped_reads/SRR10379726_mapped.sam" 
Geneid	Chr	Start	End	Strand	Length	Name	tmp/mapped_reads/SRR10379721_mapped.sam	tmp/mapped_reads/SRR10379722_mapped.sam	tmp/mapped_reads/SRR10379723_mapped.sam	tmp/mapped_reads/SRR10379724_mapped.sam	tmp/mapped_reads/SRR10379725_mapped.sam	tmp/mapped_reads/SRR10379726_mapped.sam
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	SAOUHSC_00074	907	553	537	733	885	56
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	SAOUHSC_00075	431	246	219	102	95	18
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	SAOUHSC_00076	597	335	297	194	162	77
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	SAOUHSC_00077	1287	698	614	456	450	96
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	SAOUHSC_00078	783	416	431	280	265	143
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	SAOUHSC_00079	1309	739	620	497	509	93
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	SAOUHSC_00080	1614	964	870	674	688	193
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	SAOUHSC_00081	783	475	425	334	422	169
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	SAOUHSC_00082	1343	719	720	535	770	168
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	SAOUHSC_00083	892	525	547	397	542	156
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	SAOUHSC_A00084	97	46	66	31	73	6
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	SAOUHSC_00084	157	87	83	214	252	20
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	SAOUHSC_00085	179	127	141	401	425	60
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	SAOUHSC_00086	5205	4906	2325	9304	17985	10214
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	SAOUHSC_00087	8	5	9	3	4	0
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	SAOUHSC_00088	174	106	127	66	52	6
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	SAOUHSC_00089	146	108	125	53	30	11
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	SAOUHSC_00090	337	200	217	84	100	12
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	SAOUHSC_00091	300	202	236	129	139	13
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	SAOUHSC_00092	1305	878	927	1146	1802	145
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	SAOUHSC_00093	4172	2562	2910	1322	1313	342
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	SAOUHSC_00094	70910	60050	47473	38295	58665	15909
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	SAOUHSC_00096	2514	2084	1827	1585	1840	300
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	SAOUHSC_A00097	16	8	13	12	22	5
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	SAOUHSC_00097	5243	5310	3258	1127	2192	312
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	SAOUHSC_00099	11263	12369	8062	3347	5452	351
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	SAOUHSC_00100	15023	15250	11252	6116	8552	3777
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	SAOUHSC_00101	19167	21779	12736	12716	16546	6264
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	SAOUHSC_00102	565	428	329	292	256	70
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	SAOUHSC_00103	420	297	239	184	191	27
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	SAOUHSC_00104	624	440	401	287	291	37
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	SAOUHSC_00105	533	349	332	300	285	28
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	SAOUHSC_00106	1345	960	907	772	937	298
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	SAOUHSC_00107	2232	1816	1590	1836	2375	532
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	SAOUHSC_00108	24	14	14	5	19	0
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	SAOUHSC_00109	132	55	88	48	57	3
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	SAOUHSC_00110	87	47	59	48	81	5
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	SAOUHSC_00111	22	19	20	59	37	60
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	SAOUHSC_00112	301	215	225	373	614	55
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	SAOUHSC_00113	3077	1934	1928	8778	21602	5753
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	SAOUHSC_00114	1436	1572	1040	6073	11210	1019
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	SAOUHSC_00115	1838	2062	1264	7007	12968	2257
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	SAOUHSC_00116	2188	2538	1515	6890	15496	2341
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	SAOUHSC_00117	4551	5361	2847	11080	23300	8766
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	SAOUHSC_00118	2519	2868	1707	5625	13735	4285
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	SAOUHSC_00119	2832	3063	1794	5325	14237	2415
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	SAOUHSC_00120	2794	3189	1849	5805	14362	5602
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	SAOUHSC_00121	1245	1237	820	2637	6821	1692
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	SAOUHSC_00122	1893	1852	1185	4184	10913	1366
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	SAOUHSC_00123	1285	1204	819	3010	7719	2229
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	SAOUHSC_00124	861	732	679	2173	5644	725
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	SAOUHSC_00125	2715	2731	1716	4507	14905	4662
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	SAOUHSC_00126	1282	1279	860	2123	8246	3304
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	SAOUHSC_00127	2625	2516	1704	4039	10914	1820
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	SAOUHSC_00128	3895	3747	2340	5370	17675	5627
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	SAOUHSC_00129	4367	4038	2844	5613	15454	5475
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	SAOUHSC_00130	1129	934	750	605	914	63
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	SAOUHSC_00131	814	674	551	516	783	42
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	SAOUHSC_00132	12912	13802	4773	22219	33400	3107
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	SAOUHSC_00133	972	833	657	1615	1792	185
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	SAOUHSC_00134	139	149	89	251	322	15
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	SAOUHSC_00135	1526	856	967	274	337	114
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	SAOUHSC_00136	559	318	334	118	109	17
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	SAOUHSC_00137	825	505	531	167	195	69
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	SAOUHSC_00138	641	423	377	90	109	22
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	SAOUHSC_00139	1556	937	978	1087	1864	294
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	SAOUHSC_00141	32049	19882	20453	5679	5403	287
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	SAOUHSC_00142	2284	1956	1442	431	437	114
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	SAOUHSC_00143	11837	6209	7048	2139	2603	349
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	SAOUHSC_00144	134101	77561	76936	60108	68464	14103
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	SAOUHSC_00145	20753	12219	11752	7502	7475	1048
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	SAOUHSC_00146	4057	2280	3389	3830	3568	2007
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	SAOUHSC_00147	3110	1688	2776	464	521	64
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	SAOUHSC_00148	3684	2103	3298	554	679	160
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	SAOUHSC_00149	1176	631	899	269	330	50
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	SAOUHSC_00150	1981	1179	1527	533	677	155
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	SAOUHSC_00151	2326	1655	1736	6792	7606	355
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	SAOUHSC_00152	1719	1372	887	898	868	328
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	SAOUHSC_00153	3333	2786	1606	1561	3090	455
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	SAOUHSC_00154	38	26	22	10	9	0
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	SAOUHSC_00155	6074	3848	3881	12943	12962	3509
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	SAOUHSC_00156	3276	3937	2183	6903	16989	1778
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	SAOUHSC_00157	2110	2818	1502	2498	8081	2491
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	SAOUHSC_00158	3655	4634	2461	3426	9306	2968
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	SAOUHSC_00160	2758	3159	1789	1828	3777	387
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	SAOUHSC_00161	115	54	67	123	276	10
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	SAOUHSC_00162	3347	2686	2093	4582	5832	667
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	SAOUHSC_00163	1253	1039	784	3116	4839	250
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	SAOUHSC_00164	1228	1137	721	2704	3158	290
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	SAOUHSC_00166	1756	1589	1167	2862	5045	487
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	SAOUHSC_00167	3925	2485	2786	671	779	205
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	SAOUHSC_00168	1666	1251	1313	359	350	43
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	SAOUHSC_00169	984	711	760	161	179	35
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	SAOUHSC_00170	1756	1151	1377	339	514	99
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	SAOUHSC_00171	5241	4512	4256	1057	1222	301
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	SAOUHSC_00172	2723	2146	2283	453	433	24
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	SAOUHSC_00173	41082	24844	35322	1113	1488	86
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	SAOUHSC_00174	3068	3437	1869	1760	2426	492
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	SAOUHSC_00175	549	420	351	300	415	79
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	SAOUHSC_00176	1061	902	752	249	353	72
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	SAOUHSC_00177	1307	1233	922	325	528	110
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	SAOUHSC_00178	924	919	669	231	296	33
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	SAOUHSC_00179	1732	1755	1273	384	563	227
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	SAOUHSC_00180	1721	1755	1248	436	584	185
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	SAOUHSC_00181	2195	2145	1533	599	609	128
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	SAOUHSC_00182	678	441	470	877	985	44
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	SAOUHSC_00183	3416	4767	3728	2315	1434	600
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	SAOUHSC_00184	553	308	417	548	607	99
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	SAOUHSC_00185	880	528	591	944	1434	157
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	SAOUHSC_00186	552	347	370	743	860	120
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	SAOUHSC_00187	12519	10025	7168	116231	174948	49197
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	SAOUHSC_00188	5521	4092	3008	39213	70635	26722
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	SAOUHSC_00189	140	88	90	209	486	46
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	SAOUHSC_00190	1406	893	978	1621	2188	204
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	SAOUHSC_00191	4090	3293	2200	4812	4521	96
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	SAOUHSC_00192	6188	9565	5373	6000	3034	299
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	SAOUHSC_00193	260	410	301	330	198	2
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	SAOUHSC_00194	397	575	327	119	171	34
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	SAOUHSC_00195	3129	5647	2109	842	1837	496
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	SAOUHSC_00196	4084	8464	2702	1734	5416	576
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	SAOUHSC_00197	1924	5251	1231	1823	5282	871
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	SAOUHSC_00198	3408	8153	1951	7394	14217	1265
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	SAOUHSC_00199	4259	9314	2327	23791	38375	4536
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	SAOUHSC_00200	1100	614	734	903	1262	170
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	SAOUHSC_00201	2661	1358	1955	1444	1708	151
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	SAOUHSC_00202	382	219	245	494	670	105
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	SAOUHSC_00203	212	105	129	524	788	108
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	SAOUHSC_00204	2257	1446	1230	6141	11262	1033
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	SAOUHSC_00205	56	35	45	28	44	3
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	SAOUHSC_00206	14647	13928	10757	132326	251465	57681
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	SAOUHSC_00208	16	18	13	35	13	6
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	SAOUHSC_00209	1933	1514	1228	1811	1279	640
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	SAOUHSC_00211	444	311	278	491	608	289
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	SAOUHSC_00212	6	2	3	0	0	0
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	SAOUHSC_00213	724	412	399	422	419	32
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	SAOUHSC_00214	142	75	89	31	25	4
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	SAOUHSC_00215	72	51	60	26	23	2
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	SAOUHSC_00216	671	388	395	231	212	33
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	SAOUHSC_00217	725	425	415	272	299	77
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	SAOUHSC_00218	40	28	35	18	13	6
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	SAOUHSC_00219	1249	690	689	518	539	192
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	SAOUHSC_00220	996	949	563	2509	3834	1234
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	SAOUHSC_00221	1346	1150	785	3086	3520	445
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	SAOUHSC_A00219	161	124	89	279	686	74
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	SAOUHSC_00222	2906	2200	1900	4731	6531	1134
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	SAOUHSC_00223	2226	1779	1222	1731	2662	349
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	SAOUHSC_00225	2959	2362	1964	3115	3366	525
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	SAOUHSC_00226	6708	5131	4857	6585	9415	1345
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	SAOUHSC_00227	15145	11420	11887	12835	20284	2370
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	SAOUHSC_00228	33172	26103	27145	21483	32513	6676
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	SAOUHSC_00229	925	582	597	1654	3852	510
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	SAOUHSC_00230	1209	969	805	5297	7434	1089
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	SAOUHSC_00231	312	185	178	599	1014	75
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	SAOUHSC_00232	187	230	150	371	2348	180
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	SAOUHSC_00233	966	1045	592	1086	4959	1700
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	SAOUHSC_00234	1390	1051	929	802	1018	67
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	SAOUHSC_00235	821	453	443	165	284	19
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	SAOUHSC_00236	1260	893	792	249	366	106
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	SAOUHSC_00237	695	500	425	295	340	28
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	SAOUHSC_00238	39	12	28	13	13	2
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	SAOUHSC_00239	2707	2371	1359	1895	3652	952
